Nest ID,Date Recorded,common_bird,sci_bird,id_notes,common_plant,sci_plant,Over Water,Nest Height (in),Nest Height (cm),Eggs/Hatchlings,Habitat Notes,Latitude (DD),Longitude (DD)
1,16-May-24,Red-winged Blackbird,Agelaius phoeniceus,,Elm,Ulmus sp,No,26,66,4 eggs,Upland area inside oxbow,37.13278,-89.46333
2,16-May-24,Red-winged Blackbird,Agelaius phoeniceus,,American Sweetgum,Liquidambar styraciflua,No,88,224,None,Upland area inside oxbow,37.1325,-89.46278
3,16-May-24,Red-winged Blackbird,Agelaius phoeniceus,,Willow,Salix sp,Yes,97,247,No eggs,Oxbow water edge,37.13306,-89.46333
4,30-May-24,Red-winged Blackbird,Agelaius phoeniceus,,Juniper,Juniperus sp,No,79,201,None,Upland area inside oxbow,37.13306,-89.46333
5,6-Jun-24,Red-winged Blackbird,Agelaius phoeniceus,,Willow,Salix sp,Yes,112,284,Unknown eggs,Oxbow water edge,37.1325,-89.46278
6,6-Jun-24,Red-winged Blackbird,Agelaius phoeniceus,,Hackberry,Celtis sp,No,32,81,None,Upland area closer to water of oxbow,37.13306,-89.46333
7,6-Jun-24,Red-winged Blackbird,Agelaius phoeniceus,,Blackberry,Rubus sp,No,27,69,3 eggs,"Low to ground, oxbow upland near shed",37.13318,-89.46334
8,13-Jun-24,Red-winged Blackbird,Agelaius phoeniceus,,American Sweetgum,Liquidambar styraciflua,No,36,91,3 hatchlings,N/A,37.13333,-89.46056
9,20-Jun-24,Red-winged Blackbird,Agelaius phoeniceus,,Cattails,Typha sp,Yes,48,122,None,Cattails in the middle behind big water,37.13208,-89.46139
10,20-Jun-24,Red-winged Blackbird,Agelaius phoeniceus,,American Sweetgum,Liquidambar styraciflua,No,54,137,2 hatchlings,"Denser, wooded area near perimeter near adjacent woods",37.13222,-89.46028
11,20-Jun-24,Red-winged Blackbird,Agelaius phoeniceus,,American Sweetgum,Liquidambar styraciflua,No,95,241,Unknown,"Denser, wooded area near perimeter near adjacent woods",37.13194,-89.46
12,20-Jun-24,Red-winged Blackbird,Agelaius phoeniceus,,Willow,Salix sp,Yes,96,244,Unknown,Cattails by big water,37.13167,-89.46056
13,5-Jul-24,Red-winged Blackbird,Agelaius phoeniceus,,Willow,Salix sp,Yes,85,216,None,Water at beginning of Oxbow,37.1325,-89.46333
14,5-Jul-24,Red-winged Blackbird,Agelaius phoeniceus,,Willow,Salix sp,Yes,121,307,Unknown,Water at beginning of Oxbow,37.1325,-89.46333
15,5-Jul-24,Red-winged Blackbird,Agelaius phoeniceus,,American Sweetgum,Liquidambar styraciflua,No,89,226,Unknown,Dense sweetgum stand near perimeter edge,37.13278,-89.46278
16,5-Jul-24,Red-winged Blackbird,Agelaius phoeniceus,,American Sweetgum,Liquidambar styraciflua,No,132,335,Unknown,Dense sweetgum stand near perimeter edge,37.13278,-89.46139
17,5-Jul-24,Red-winged Blackbird,Agelaius phoeniceus,,Prairie Cordgrass,Spartina pectinata,No,32,81,No eggs,"Spaced out cordgrass stands, sort of in the middle of the plot",37.13194,-89.46022
18,5-Jul-24,Red-winged Blackbird,Agelaius phoeniceus,,American Sweetgum,Liquidambar styraciflua,No,55.5,141,4 eggs,Inner edge of sweetgum stand,37.1319,-89.4601
