common_bird,num_nests,mean_nest_height,sci_plant
Blue Grosbeak,1,NA,-
Blue Grosbeak,1,132,Pyrus communis
Indigo Bunting,3,NA,-
Mourning Dove,1,229,Quercus lyrata
Red-winged Blackbird,12,263.5833333333333,Liquidambar styraciflua
Red-winged Blackbird,7,149.71428571428572,Typha sp
Red-winged Blackbird,5,259.6,Salix sp
Red-winged Blackbird,2,95.5,Scirpus cyperinus
Red-winged Blackbird,1,81,Celtis sp
Red-winged Blackbird,1,183,Cephalanthus occidentalis
Red-winged Blackbird,1,201,Juniperus sp
Red-winged Blackbird,1,69,Rubus sp
Red-winged Blackbird,1,121,Solidago sp
Red-winged Blackbird,1,81,Spartina pectinata
Red-winged Blackbird,1,66,Ulmus sp
Unknown,3,223.33333333333334,Liquidambar styraciflua
Unknown,1,0,-
Unknown,1,203,Acer negundo
Unknown,1,104,Celtis laevigata
Unknown,1,175,Crataegus viridis
Unknown,1,102,Juniperus virginiana
Unknown,1,109,Solidago sp
