common_name,num_checks,max_n,mean_n
Red-winged Blackbird,34,50,24.205882352941178
Common Yellowthroat,30,17,8.233333333333333
Indigo Bunting,28,10,3
American Goldfinch,21,4,1.6666666666666665
Common Grackle,20,50,14.899999999999999
Bell's Vireo,20,3,1.4
Northern Cardinal,16,4,1.8125
American Crow,13,35,4.384615384615384
Blue Grosbeak,13,9,3.6923076923076925
Barn Swallow,10,30,10
Mourning Dove,10,2,1.3
American Robin,9,2,1.1111111111111112
Northern Mockingbird,9,2,1.2222222222222223
Ruby-throated Hummingbird,8,8,2.75
Orchard Oriole,8,4,1.625
Yellow-breasted Chat,8,2,1.375
Carolina Wren,6,2,1.1666666666666667
Red-bellied Woodpecker,6,2,1.5
Swamp Sparrow,5,19,8.2
European Starling,5,5,2.2
Blue Jay,5,1,1
Eastern Kingbird,4,3,2
Baltimore Oriole,3,2,1.3333333333333333
Killdeer,3,2,1.6666666666666667
Solitary Sandpiper,3,2,1.3333333333333333
Yellow Warbler,3,2,1.3333333333333333
Downy Woodpecker,3,1,1
Warbling Vireo,3,1,1
Yellow-billed Cuckoo,3,1,1
Greater Yellowlegs,2,7,5
duck sp.,2,7,5
Eurasian Collared-Dove,2,6,4.5
Turkey Vulture,2,3,2.5
Wilson's Snipe,2,3,2.5
Least Flycatcher,2,2,1.5
Brown Thrasher,2,1,1
Eastern Wood-Pewee,2,1,1
Great Egret,2,1,1
Blue-winged Teal,1,5,5
Brown-headed Cowbird,1,3,3
Northern Bobwhite,1,2,2
Yellow-throated Warbler,1,2,2
American Pipit,1,1,1
Fish Crow,1,1,1
Great Blue Heron,1,1,1
Great Crested Flycatcher,1,1,1
Least Bittern,1,1,1
Loggerhead Shrike,1,1,1
Marsh Wren,1,1,1
Northern Flicker,1,1,1
Red-headed Woodpecker,1,1,1
Red-tailed Hawk,1,1,1
Savannah Sparrow,1,1,1
Tufted Titmouse,1,1,1
White-crowned Sparrow,1,1,1
White-eyed Vireo,1,1,1
Yellow-rumped Warbler,1,1,1
