month(date),submission_id,n_obs
4,S168157664,1
4,S168159973,1
4,S169162630,1
4,S169171829,1
4,S169179969,1
5,S171504317,1
5,S171516603,1
5,S172794521,1
5,S172805388,1
5,S174916543,1
5,S174928279,1
5,S174932942,1
5,S178177372,1
5,S178189682,1
5,S178235914,1
6,S179757119,1
6,S182675724,1
6,S182686375,1
6,S182696972,1
7,S185450669,1
7,S185462774,1
7,S185467659,1
7,S186672605,1
7,S186677285,1
8,S190025161,1
8,S190035810,1
8,S190044870,1
8,S190760929,1
8,S190767824,1
8,S190774184,1
8,S191533651,1
8,S191542152,1
8,S191776521,1
8,S191785730,1
8,S192453046,1
8,S192465964,1
